dateTime,lat,long,actual_pm2_5,predicted_pm2_5,absolute_error,hour,dayofweek
2021-01-16 11:00:00+05:30,28.561,77.1816,316.07,288.4220490319094,27.647950968090584,11,5
2021-01-16 11:00:00+05:30,28.561,77.2224,325.2,232.67558479368836,92.52441520631163,11,5
2021-01-16 11:00:00+05:30,28.534,77.2734,298.51,270.3052952352591,28.20470476474088,11,5
2021-01-16 11:00:00+05:30,28.552,77.253,325.86,220.67992233900804,105.18007766099197,11,5
2021-01-16 11:00:00+05:30,28.633,77.2938,232.51,253.42401116406015,20.914011164060156,11,5
2021-01-16 11:00:00+05:30,28.606,77.2734,308.6,215.71150206079164,92.88849793920838,11,5
2021-01-16 11:00:00+05:30,28.552,77.1714,228.47,222.36112011187288,6.10887988812712,11,5
2021-01-16 11:00:00+05:30,28.642,77.304,229.72,224.38545191920093,5.334548080799067,11,5
2021-01-16 11:00:00+05:30,28.561,77.2428,281.41,233.47853124962785,47.931468750372176,11,5
2021-01-16 11:00:00+05:30,28.561,77.2122,236.83,217.8833344822333,18.946665517766718,11,5
2021-01-16 11:00:00+05:30,28.498,77.2938,268.17,233.86081699142144,34.30918300857857,11,5
2021-01-16 11:00:00+05:30,28.552,77.1612,219.5,236.73044035670137,17.230440356701365,11,5
2021-01-16 11:00:00+05:30,28.534,77.2836,287.65,264.4195347499417,23.230465250058273,11,5
2021-01-16 11:00:00+05:30,28.588,77.2326,351.0,256.4025558773601,94.5974441226399,11,5
2021-01-16 11:00:00+05:30,28.543,77.253,324.5,247.90729659294084,76.59270340705916,11,5
2021-01-16 11:00:00+05:30,28.561,77.1612,217.24,206.392407268464,10.847592731535997,11,5
2021-01-16 11:00:00+05:30,28.633,77.2734,230.25,208.2408988522193,22.00910114778071,11,5
2021-01-16 11:00:00+05:30,28.516,77.2938,296.96,222.3961856673068,74.56381433269317,11,5
2021-01-16 11:00:00+05:30,28.588,77.2122,167.0,206.657214064604,39.657214064604005,11,5
2021-01-16 11:00:00+05:30,28.57,77.1714,232.62,245.713123947894,13.093123947893986,11,5
2021-01-16 11:00:00+05:30,28.543,77.1714,229.0,295.9834991962325,66.98349919623251,11,5
2021-01-16 11:00:00+05:30,28.588,77.253,313.27,193.29540398427707,119.97459601572291,11,5
2021-01-16 11:00:00+05:30,28.642,77.2938,246.82,267.24705097501374,20.427050975013742,11,5
2021-01-16 11:00:00+05:30,28.606,77.2326,355.67,264.88032475702585,90.78967524297417,11,5
2021-01-16 11:00:00+05:30,28.633,77.2836,186.43,253.40906211990023,66.97906211990022,11,5
2021-01-16 11:00:00+05:30,28.597,77.2326,361.22,275.55191296236717,85.66808703763286,11,5
2021-01-16 11:00:00+05:30,28.516,77.2836,302.44,259.76683751105884,42.67316248894116,11,5
2021-01-16 11:00:00+05:30,28.624,77.2734,225.46,248.45967768349328,22.999677683493275,11,5
2021-01-16 11:00:00+05:30,28.57,77.202,222.93,218.3506575997244,4.579342400275607,11,5
2021-01-16 11:00:00+05:30,28.597,77.202,203.43,195.91309364012432,7.516906359875691,11,5
2021-01-16 11:00:00+05:30,28.624,77.2632,131.14,243.33634359525055,112.19634359525057,11,5
2021-01-16 11:00:00+05:30,28.597,77.253,234.94,198.8232826241465,36.11671737585351,11,5
2021-01-16 11:00:00+05:30,28.498,77.2734,211.62,252.61220419858364,40.992204198583636,11,5
2021-01-16 11:00:00+05:30,28.66,77.3142,209.67,187.62166727673957,22.048332723260415,11,5
2021-01-16 11:00:00+05:30,28.66,77.304,210.78,194.5602412069302,16.219758793069815,11,5
2021-01-16 11:00:00+05:30,28.516,77.2734,255.07,237.31722863452976,17.752771365470238,11,5
2021-01-16 11:00:00+05:30,28.651,77.304,265.06,227.1152315762265,37.944768423773496,11,5
2021-01-16 11:00:00+05:30,28.561,77.202,236.69,248.4355138409655,11.745513840965515,11,5
2021-01-16 11:00:00+05:30,28.561,77.2326,323.97,237.26730089461032,86.70269910538971,11,5
2021-01-16 11:00:00+05:30,28.597,77.2632,312.05,207.828693837786,104.221306162214,11,5
